second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
73,22.915872,0.440488,23.35636,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
74,22.699368,0.444776,23.144144,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
75,22.125728,0.443568,22.569295999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
76,23.005136,0.43864,23.443776,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
77,22.983512,0.44172,23.425232,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
78,22.800936,0.442336,23.243272,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
79,22.214832,0.443568,22.6584,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
80,23.181176,0.440488,23.621664,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
81,23.056152,0.441104,23.497256,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
82,22.553624,0.439256,22.99288,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
83,22.629288,0.443568,23.072855999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
84,23.245232,0.440488,23.68572,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
85,23.028344,0.439792,23.468136,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
86,22.323432,0.441104,22.764536,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
87,23.292768,0.440464,23.733231999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
88,23.308064,0.439256,23.747320000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
89,23.023592,0.43864,23.462232,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
90,22.491872,0.43864,22.930512,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
91,23.4848,0.44172,23.92652,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
92,23.292496,0.439256,23.731752,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
93,22.819616,0.43864,23.258256,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
94,22.98108,0.43864,23.419719999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
95,23.517672,0.439872,23.957544000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
96,23.279744,0.43556,23.715304,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
97,22.589904,0.440488,23.030392,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
98,23.607608,0.43864,24.046248,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
99,23.51188,0.436152,23.948032,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
100,23.339488,0.436792,23.77628,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
