method,time_s,total_mbps,pathA_mbps,pathB_mbps,path_b_share_pct
baseline,214.0,25.580447999999997,25.054584,0.525864,2.0557263109700035
baseline,215.0,26.607584000000003,26.06068,0.546904,2.0554440418190536
baseline,216.0,27.1862,26.637944,0.548256,2.0166702223922433
baseline,217.0,26.9086,26.359064,0.549536,2.0422318515270215
baseline,218.0,25.655735999999997,25.074336,0.5814,2.266159895003597
baseline,219.0,27.01504,26.442128,0.572912,2.1207149795077114
baseline,220.0,27.204176,26.633816,0.57036,2.096589876495432
baseline,221.0,25.530432,24.927104,0.603328,2.363171919691762
baseline,222.0,27.085224,26.46032,0.624904,2.3071767839173125
baseline,223.0,27.294528,26.669624,0.624904,2.289484544301334
baseline,224.0,26.433544,25.832032,0.601512,2.2755632010599864
baseline,225.0,4.402648,4.359664,0.042984,0.9763215228653301
qaccess_t,0.0,0.062808,0.031392,0.031416,50.01910584638899
qaccess_t,1.0,0.060736,0.030336,0.0304,50.05268703898841
qaccess_t,2.0,0.061,0.030472,0.030528,50.04590163934426
qaccess_t,3.0,0.146432,0.1162,0.030232,20.645760489510486
qaccess_t,4.0,0.010471999999999999,0.00828,0.002192,20.932009167303285
qaccess_t,5.0,0.0,0.0,0.0,nan
qaccess_t,6.0,0.041471999999999995,0.013824,0.027648,66.66666666666667
qaccess_t,7.0,0.143368,0.087992,0.055376,38.62507672562916
qaccess_t,8.0,12.27852,11.60736,0.67116,5.466131097233216
qaccess_t,9.0,22.724392,21.147368,1.577024,6.939785231657683
qaccess_t,10.0,24.181328,21.961336,2.219992,9.180604142171182
qaccess_t,11.0,23.620720000000002,21.381112,2.239608,9.481539936123877
qaccess_t,12.0,24.03276,22.005152,2.027608,8.43685036591719
qaccess_t,13.0,23.29968,21.41192,1.88776,8.102085522204598
qaccess_t,14.0,23.732312,21.443936,2.288376,9.64244865818383
qaccess_t,15.0,24.332152,22.04468,2.287472,9.401026263521615
qaccess_t,16.0,23.187392,21.452816,1.734576,7.48068605559435
qaccess_t,17.0,23.85648,21.498,2.35848,9.886118991569587
qaccess_t,18.0,24.488,22.116352,2.371648,9.684939562234565
qaccess_t,19.0,23.265608,21.508224,1.757384,7.55357005929095
qaccess_t,20.0,23.914768000000002,21.521352,2.393416,10.008108797041226
qaccess_t,21.0,24.492784,22.051904,2.44088,9.965710717083038
qaccess_t,22.0,22.485432000000003,20.70388,1.781552,7.923138857194292
qaccess_t,23.0,24.02328,21.565448,2.457832,10.23104255538794
qaccess_t,24.0,24.016088,21.607384,2.408704,10.029543529320845
qaccess_t,25.0,24.099008,22.185672,1.913336,7.939480330476672
qaccess_t,26.0,24.12752,21.638112,2.489408,10.31771189082011
qaccess_t,27.0,23.825544,21.61456,2.210984,9.279888845350182
qaccess_t,28.0,23.971216000000002,21.727112,2.244104,9.361661085528578
qaccess_t,29.0,24.718032,22.19372,2.524312,10.212431151476785
qaccess_t,30.0,23.743552,21.68728,2.056272,8.660338604771518
qaccess_t,31.0,24.295288,21.717256,2.578032,10.611242805600822
qaccess_t,32.0,24.6006,22.017632,2.582968,10.49961383055698
qaccess_t,33.0,24.102144,22.05592,2.046224,8.489800741378028
qaccess_t,34.0,24.3632,21.7244,2.6388,10.831089512050962
qaccess_t,35.0,24.010431999999998,21.800648,2.209784,9.203432907829399
qaccess_t,36.0,24.650095999999998,22.102952,2.547144,10.333201136417483
qaccess_t,37.0,24.74476,22.0904,2.65436,10.726957949885147
qaccess_t,38.0,23.920392,21.775432,2.14496,8.967077128167466
qaccess_t,39.0,24.5826,21.850904,2.731696,11.112315214826747
qaccess_t,40.0,20.805256,18.747368,2.057888,9.8911928793378
qaccess_t,41.0,24.841288,22.047952,2.793336,11.244730949538527
qaccess_t,42.0,24.364984,22.140752,2.224232,9.12880550219118
qaccess_t,43.0,24.607152000000003,21.836808,2.770344,11.258287834366202
qaccess_t,44.0,24.458840000000002,21.966792,2.492048,10.188741575642998
qaccess_t,45.0,24.69248,22.12184,2.57064,10.410618941475299
qaccess_t,46.0,25.156288,22.312536,2.843752,11.304338700526882
qaccess_t,47.0,24.230136,21.93616,2.293976,9.467449955708048
qaccess_t,48.0,24.800736,21.921872,2.878864,11.607978085811647
qaccess_t,49.0,24.308016,22.01708,2.290936,9.424611206443174
qaccess_t,50.0,25.193528,22.242512,2.951016,11.713389248222796
qaccess_t,51.0,24.890496,22.398632,2.491864,10.011307127025512
qaccess_t,52.0,24.873328,22.039912,2.833416,11.391382769527263
qaccess_t,53.0,24.492440000000002,22.011592,2.480848,10.129035735108465
qaccess_t,54.0,24.982391999999997,22.108496,2.873896,11.503686276318136
qaccess_t,55.0,25.024800000000003,22.465136,2.559664,10.228509318755794
qaccess_t,56.0,25.104143999999998,22.284936,2.819208,11.230050305638784
qaccess_t,57.0,24.742968,22.102696,2.640272,10.67079745647329
qaccess_t,58.0,24.884,22.046712,2.837288,11.402057547018165
qaccess_t,59.0,24.7764,22.156568,2.619832,10.573900970278169
qaccess_t,60.0,25.311904,22.41788,2.894024,11.433450442922034
qaccess_t,61.0,25.323248,22.511216,2.812032,11.104547094432752
qaccess_t,62.0,24.983384,22.185568,2.797816,11.198707108692721
qaccess_t,63.0,24.828343999999998,22.1026,2.725744,10.978356027288813
qaccess_t,64.0,25.105415999999998,22.173824,2.931592,11.677129747620993
qaccess_t,65.0,24.845936000000002,22.188064,2.657872,10.697411439842716
qaccess_t,66.0,25.336208,22.27312,3.063088,12.08976497193266
qaccess_t,67.0,25.256,22.557584,2.698416,10.684257206208425
qaccess_t,68.0,25.419504,22.423672,2.995832,11.785564344607197
qaccess_t,69.0,25.039848,22.264304,2.775544,11.084508180720585
qaccess_t,70.0,25.256776000000002,22.225144,3.031632,12.003242219038565
qaccess_t,71.0,24.89968,22.228776,2.670904,10.72665994101129
qaccess_t,72.0,25.370576,22.25316,3.117416,12.28752551774938
qaccess_t,73.0,25.11648,22.346624,2.769856,11.028042146033203
qaccess_t,74.0,25.453712,22.610992,2.84272,11.168194250017443
qaccess_t,75.0,25.684296,22.589664,3.094632,12.048732034547491
qaccess_t,76.0,25.138928,22.3036,2.835328,11.278635270366342
qaccess_t,77.0,25.519384,22.401,3.118384,12.219667998255757
qaccess_t,78.0,25.173688,22.308632,2.865056,11.381153210447353
qaccess_t,79.0,25.445456,22.335416,3.11004,12.2223787225507
qaccess_t,80.0,25.222056,22.362136,2.85992,11.338964595114689
qaccess_t,81.0,25.377624,22.408224,2.9694,11.70085899294591
qaccess_t,82.0,25.730904,22.561992,3.168912,12.315587512976615
qaccess_t,83.0,25.63444,22.599032,3.035408,11.841132476465255
qaccess_t,84.0,25.719856,22.6134,3.106456,12.07804584909029
qaccess_t,85.0,25.173992000000002,22.498864,2.675128,10.626554580616375
